rate,btl_delay,cca,test_duration,flows,interval,omit,aqm,buffer_factor,trial,jfi,loss_percentage,utilization,buffer_occupancy
100,10,bbr2-reno,120,1,0.1,180,FIFO,2,2,0.968250979186743,0.2136160171959394,95.63889575406029,67.6236
100,10,bbr2-reno,120,1,0.1,180,FIFO,2,3,0.949787722714314,0.2017823715226035,95.64760218827158,66.918
100,10,bbr2-reno,120,1,0.1,180,FIFO,3,1,0.9333083509890434,0.1198147746172487,95.64763641720522,70.82693333333333
100,10,bbr2-reno,120,1,0.1,180,FIFO,3,2,0.9697448306593396,0.1318823656500322,95.6913377902917,72.54106666666667
100,10,bbr2-reno,120,1,0.1,180,FIFO,3,3,0.9836030064569616,0.1511661037452141,95.65636502990046,71.61706666666667
100,10,bbr2-reno,120,1,0.1,180,FIFO,4,1,0.9188211480362922,0.1156847885598306,95.69105962686484,76.0046
100,10,bbr2-reno,120,1,0.1,180,FIFO,4,2,0.9053037013303,0.1055669948403755,95.67384214424106,75.9622
100,10,bbr2-reno,120,1,0.1,180,FIFO,4,3,0.850585501412801,0.1214525724315963,95.83988026730184,72.3232
100,10,bbr2-reno,120,1,0.1,180,FIFO,5,1,0.9297965073309024,0.1033248432276131,95.71754179402366,75.97184
100,10,bbr2-reno,120,1,0.1,180,FIFO,5,2,0.9793435190578552,0.0920992653062854,95.87481475161545,74.69072
100,10,bbr2-reno,120,1,0.1,180,FIFO,5,3,0.887788170535719,0.0811466875902438,95.75252213910674,76.3288
100,10,bbr2-reno,120,1,0.1,180,FIFO,6,1,0.9403946195642324,0.0736744932059579,95.6911909837186,79.0116
100,10,bbr2-reno,120,1,0.1,180,FIFO,6,2,0.8931502857422464,0.0747624466967929,95.7700064183044,77.11626666666666
100,10,bbr2-reno,120,1,0.1,180,FIFO,6,3,0.9287379481859874,0.0802306884658884,95.848610388898,76.97506666666666
100,10,bbr2-reno,120,1,0.1,180,FIFO,7,1,0.967159437531104,0.0544658538008326,95.8398636159854,80.80022857142858
100,10,bbr2-reno,120,1,0.1,180,FIFO,7,2,0.982376895067632,0.0553459731008704,95.76125783063776,79.85622857142857
100,10,bbr2-reno,120,1,0.1,180,FIFO,7,3,0.919202525387992,0.07689904023065,95.83994777951088,77.58582857142858
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,1,1,0.9448137939800022,0.1581028402834919,93.92620634374866,79.10896
